filename,fc,ml,cc
cassandra-stressd,3,109,0
sstableexpiredblockers,3,29,0
sstablelevelreset,3,81,0
sstablemetadata,3,53,0
sstableofflinerelevel,3,29,0
sstablerepairedset,3,107,0
sstablesplit,3,67,0
Keyspace.java,25,524,112
SettingsCommandUser.java,6,54,18
Lists.java,11,168,98
Maps.java,6,164,87
Sets.java,6,64,70
CollectionsTest.java,8,400,42
FrozenCollectionsTest.java,9,638,48
SearchIterator.java,4,9,0
PartitionImplementationTest.java,6,568,85
SystemKeyspaceTest.java,8,172,48
RecoveryManagerTest.java,5,241,15
AbstractCell.java,10,170,51
AbstractRow.java,8,100,41
TemporalRow.java,6,770,0
ViewManager.java,10,194,30
ViewSchemaTest.java,5,871,29
ViewTest.java,32,1519,111
ThreadPoolMetrics.java,2,62,14
TpStats.java,4,88,3
StatusLogger.java,3,35,7
CASClientRequestMetrics.java,3,7,2
CassandraMetricsRegistry.java,5,47,95
ColumnFamilyMetrics.java,2,59,72
EstimatedHistogramReservoir.java,4,136,0
KeyspaceMetrics.java,3,26,7
EstimatedHistogram.java,9,189,69
EstimatedHistogramTest.java,4,142,14
AbstractReadExecutor.java,6,50,48
StartupChecks.java,19,395,52
ViewUtils.java,2,27,11
ViewUtilsTest.java,2,43,4
cassandra,23,527,0
OutboundTcpConnection.java,19,279,86
ConfigHelper.java,2,52,83
CqlInputFormat.java,6,82,39
copyutil.py,49,8427,588
basecase.py,2,28,11
cassconnect.py,7,54,25
cassandra.install,6,6,0
SSTableMetadataViewer.java,9,154,14
CompactionInfo.java,5,82,30
OperationType.java,4,10,5
IndexSummaryManager.java,8,352,30
IndexSummaryRedistribution.java,6,404,41
IndexSummaryManagerTest.java,6,295,62
ReconnectableSnitchHelper.java,3,8,21
RemoveTest.java,5,60,9
CompactionMetrics.java,4,63,15
CompactionStats.java,10,181,8
Generator.java,1,4,5
UnfilteredDeserializer.java,16,818,127
TableHistograms.java,4,63,11
CFPropDefs.java,4,50,37
DropRecreateAndRestoreTest.java,1,105,6
Columns.java,8,84,96
BTree.java,8,364,255
BTreeRemoval.java,4,363,67
BTreeRemovalTest.java,1,385,75
BulkLoader.java,12,678,95
BulkLoaderTest.java,2,238,5
CompactionHistory.java,5,362,7
util.py,2,54,27
BootStrapper.java,4,25,28
RangeStreamer.java,7,84,49
SSTableLoader.java,4,36,36
LocalSyncTask.java,4,35,13
StreamingRepairTask.java,2,6,6
StreamCoordinator.java,4,78,44
StreamPlan.java,2,17,15
StreamResultFuture.java,5,57,28
BootStrapperTest.java,10,165,26
LocalDates.java,2,47,2
SmallInts.java,2,39,2
Times.java,2,38,2
TinyInts.java,2,53,2
SchemaStatement.java,7,50,13
NativeSSTableLoaderClient.java,11,135,24
NOTICE.txt,4,12,0
jgrapht-core-0.9.1.jar,1,0,0
jgrapht-core-0.9.1.txt,1,227,0
Types.java,4,106,48
PasswordAuthenticator.java,9,206,35
FieldSelector.java,4,22,9
BatchStatement.java,22,378,104
CounterMutation.java,4,13,48
IMutation.java,1,2,0
LegacyLayout.java,42,1266,497
Mutation.java,11,203,65
UnfilteredPartitionIterators.java,9,118,28
Stack.java,1,6,13
SSTableSimpleIterator.java,4,120,40
SSTableReader.java,53,767,324
FileSegmentInputStream.java,2,12,13
RebufferingInputStream.java,3,18,48
AsciiSerializer.java,1,2,4
UTF8Serializer.java,4,15,31
Ring.java,3,37,19
Status.java,4,87,30
HistogramBuilder.java,1,7,24
IntervalTree.java,2,25,64
MergeIterator.java,2,50,61
MerkleTree.java,4,159,166
TreeCursor.java,1,3,40
Operation.java,17,1039,72
CqlOperation.java,3,22,87
PredefinedOperation.java,4,11,44
ValidatingSchemaQuery.java,5,26,54
TimingInterval.java,4,352,44
run_cqlsh.py,2,110,45
winpty.py,1,50,8
CommitLogArchiver.java,5,73,45
CommitLogSegmentManager.java,11,69,71
SSTableWriterTest.java,4,262,21
SSTableWriterTestBase.java,8,232,19
native_protocol_v4.spec,8,359,0
DateType.java,3,10,17
TimestampType.java,3,12,21
TimestampSerializer.java,6,62,24
StreamSession.java,16,251,102
CompactionManagerMBean.java,2,12,0
BatchTests.java,2,60,22
AbstractSSTableIterator.java,13,274,88
SSTableIterator.java,11,192,48
SSTableReversedIterator.java,19,507,89
QueryWithIndexedSSTableTest.java,2,88,6
Validator.java,5,23,29
ParameterizedClass.java,3,15,10
CompressedChecksummedDataInput.java,7,355,23
CompressedHintsWriter.java,2,75,5
HintsCatalog.java,6,63,20
HintsDescriptor.java,5,204,38
HintsService.java,7,122,32
HintsStore.java,5,48,29
HintsCatalogTest.java,5,181,9
HintsCompressionTest.java,3,293,14
LegacyHintsMigratorTest.java,3,12,12
DroppedMessageMetrics.java,2,16,2
MessagingServiceTest.java,9,410,29
Functions.java,2,4,33
ThriftResultsMerger.java,2,16,45
CachedPartition.java,1,6,0
LazilyInitializedUnfilteredRowIterator.java,3,11,15
RangeTombstoneMarker.java,5,22,26
Unfiltered.java,4,17,3
Indexes.java,1,4,26
CustomTThreadPoolServer.java,5,19,25
CassandraVersion.java,6,38,52
OutboundTcpConnectionPool.java,9,69,30
CassandraVersionTest.java,4,146,23
CassandraRoleManager.java,9,145,82
IRoleManager.java,1,2,0
RoleOptions.java,1,2,19
Roles.java,2,27,5
ViewDefinition.java,4,13,18
SingleColumnRelation.java,13,184,58
CompactTables.java,4,64,22
LogReplicaSet.java,4,102,37
UnfilteredRowIteratorSerializer.java,2,5,30
UnfilteredSerializer.java,17,437,102
ExcludingBounds.java,1,2,20
IncludingExcludingBounds.java,1,2,19
CassandraIndexFunctions.java,1,2,13
ClusteringColumnIndex.java,2,7,9
CleanupTransaction.java,1,2,1
IndexTransaction.java,1,2,0
UpdateTransaction.java,1,2,1
MetadataSerializer.java,6,22,14
FastByteOperations.java,4,12,55
AllowAllAuthorizer.java,3,16,10
IAuthorizer.java,1,9,1
PermissionsCache.java,4,158,15
cassandra-env.ps1,21,255,0
cassandra-env.sh,21,261,0
ColumnIdentifier.java,10,218,61
PropertyDefinitions.java,1,5,26
AbstractCompositeType.java,3,18,52
TupleType.java,10,161,78
IndexMetadata.java,2,31,48
CFMetaDataTest.java,5,127,24
DatabaseDescriptorTest.java,6,232,34
ColumnIdentifierTest.java,3,56,7
PropertyDefinitionsTest.java,1,61,4
AbstractCompositeTypeTest.java,1,35,2
CassandraMetricsRegistryTest.java,1,34,2
IndexMetadataTest.java,1,36,3
HintVerbHandler.java,6,38,6
LegacySchemaMigrator.java,21,376,144
CompactionIterator.java,10,290,36
PurgeFunction.java,5,65,20
BufferCell.java,11,287,21
TTLExpiryTest.java,9,161,12
PendingRangeMaps.java,2,418,24
PendingRangesBench.java,2,178,9
PendingRangeMapsTest.java,2,156,3
BlacklistedDirectories.java,4,50,13
BlacklistedDirectoriesMBean.java,1,9,0
Directories.java,22,246,189
CompactionTask.java,19,275,42
LeveledManifest.java,16,587,111
SizeTieredCompactionStrategy.java,9,47,50
Tracker.java,13,243,80
IPartitioner.java,3,30,2
Murmur3Partitioner.java,3,61,44
RandomPartitioner.java,8,144,28
Splitter.java,3,134,17
RangeAwareSSTableWriter.java,3,222,33
DiskAwareRunnable.java,4,68,0
StreamWriter.java,5,25,12
CompressedStreamWriter.java,5,39,11
SSTableOfflineRelevel.java,3,45,23
RelocateSSTables.java,1,49,3
LongLeveledCompactionStrategyTest.java,8,284,23
CompactionsCQLTest.java,9,246,39
TrackerTest.java,9,113,19
LengthPartitioner.java,3,19,23
SplitterTest.java,2,160,26
002cassandra_logdir_fix.dpatch,4,67,0
Row.java,13,245,70
ServerConnection.java,3,13,26
cassandra-stress.bat,4,8,0
ClientWarningsTest.java,6,76,9
GetTimeout.java,1,52,2
SetTimeout.java,1,55,2
SerializationHeader.java,13,196,91
PendingRangeCalculatorService.java,6,86,11
MoveTest.java,9,1465,53
BTreeRow.java,13,235,165
Compact.java,2,53,12
WriteCallbackInfo.java,4,12,11
WriteCallbackInfoTest.java,3,19,7
AbstractCType.java,2,6,76
ConnectionHandler.java,12,178,49
AbstractLocalAwareExecutorService.java,6,86,34
DebuggableThreadPoolExecutor.java,2,51,48
ExecutorLocal.java,3,47,0
ExecutorLocals.java,1,84,8
LocalAwareExecutorService.java,1,14,0
SEPExecutor.java,4,49,44
SharedExecutorPool.java,7,76,16
StageManager.java,7,53,15
SliceQueryFilter.java,3,30,110
ClientWarn.java,3,71,14
Tracing.java,6,125,38
Message.java,16,433,121
RequestThreadPoolExecutor.java,3,102,0
HintsDispatchExecutor.java,9,108,34
TableStats.java,11,787,45
CommitLogUpgradeTest.java,4,52,25
CommitLogUpgradeTestMaker.java,4,17,22
SigarLibrary.java,2,11,27
CommitLogDescriptor.java,3,75,38
CommitLogSegment.java,18,457,87
CompressedSegment.java,11,171,7
EncryptedFileSegmentInputStream.java,2,94,12
EncryptedSegment.java,6,207,11
FileDirectSegment.java,5,226,4
MemoryMappedSegment.java,8,42,10
SegmentReader.java,1,355,38
EncryptionUtils.java,5,323,29
CommitLog-6-1452918948163.log,2,0,0
hash.txt,2,13,0
CommitLogStressTest.java,11,428,54
CommitLogDescriptorTest.java,2,414,6
CommitLogTest.java,15,1045,61
SegmentReaderTest.java,6,221,13
EncryptionUtilsTest.java,2,124,5
StatementRestrictions.java,25,511,158
RowFilter.java,17,445,205
CollectionKeyIndexBase.java,1,21,6
CollectionValueIndex.java,1,20,16
RegularColumnIndex.java,1,22,10
SimpleQueryTest.java,4,105,28
SecondaryIndexOnStaticColumnTest.java,1,217,6
ComplexColumnData.java,9,69,65
RowIterators.java,3,47,9
SerializationHelper.java,1,39,30
UnfilteredRowIterators.java,9,173,71
WithOnlyQueriedData.java,4,59,4
DataResolver.java,26,1270,119
CassandraServer.java,16,332,384
RangeSliceQueryPager.java,6,58,28
GossiperTest.java,7,306,3
RepairMessageVerbHandler.java,6,72,20
Snapshot.java,2,27,9
ColumnFamilyStoreTest.java,8,286,95
SASI.md,3,839,0
concurrent-trees-2.4.0.jar,2,0,0
hppc-0.5.4.jar,2,0,0
jflex-1.6.0.jar,3,0,0
concurrent-trees-2.4.0.txt,2,402,0
hppc-0.5.4.txt,2,404,0
jflex-1.6.0.txt,2,402,0
primitive-1.0.txt,2,402,0
snowball-stemmer-1.3.0.581.1.txt,3,420,0
primitive-1.0.jar,2,0,0
snowball-stemmer-1.3.0.581.1.jar,2,0,0
SASIIndex.java,12,410,45
SASIIndexBuilder.java,7,164,15
SSTableIndex.java,4,280,31
Term.java,6,169,8
TermIterator.java,7,258,21
AbstractAnalyzer.java,3,67,5
NoOpAnalyzer.java,2,60,5
NonTokenizingAnalyzer.java,2,132,17
NonTokenizingOptions.java,1,147,22
SUPPLEMENTARY.jflex-macro,1,143,0
StandardAnalyzer.java,5,229,32
StandardTokenizerImpl.jflex,2,222,0
StandardTokenizerInterface.java,1,65,0
StandardTokenizerOptions.java,2,275,38
BasicResultFilters.java,1,76,7
FilterPipelineBuilder.java,1,51,4
FilterPipelineExecutor.java,1,53,6
FilterPipelineTask.java,1,52,4
StemmerFactory.java,2,104,4
StemmingFilters.java,2,48,5
StopWordFactory.java,2,102,8
StopWordFilters.java,1,42,4
DataTracker.java,5,231,23
IndexMode.java,8,288,29
PrefixTermTree.java,2,205,30
RangeTermTree.java,4,125,10
TermTree.java,1,58,6
Descriptor.java,10,171,56
OnDiskBlock.java,2,143,18
OnDiskIndex.java,7,845,150
OnDiskIndexBuilder.java,11,791,110
PerSSTableIndexWriter.java,10,458,50
Token.java,5,67,3
TokenTree.java,5,1119,73
TokenTreeBuilder.java,5,1794,5
TimeQuotaExceededException.java,1,21,0
IndexMemtable.java,4,92,8
KeyRangeIterator.java,4,227,18
MemIndex.java,4,61,3
SkipListMemIndex.java,3,121,12
TrieMemIndex.java,7,395,38
Expression.java,8,463,101
QueryController.java,7,395,42
QueryPlan.java,5,525,26
ByteTerm.java,1,51,5
CharTerm.java,1,54,5
IntegralSA.java,3,90,8
SA.java,1,58,3
SuffixSA.java,4,195,19
AbstractIterator.java,1,155,12
CombinedTerm.java,4,155,9
CombinedTermIterator.java,3,93,10
CombinedValue.java,1,25,0
MappedBuffer.java,2,255,39
OnDiskIndexIterator.java,1,64,8
RangeIntersectionIterator.java,3,291,41
RangeIterator.java,2,358,69
RangeUnionIterator.java,3,168,21
TypeUtil.java,2,86,12
AbstractPatriciaTrie.java,2,1510,171
AbstractTrie.java,2,299,41
Cursor.java,2,115,0
KeyAnalyzer.java,2,91,0
PatriciaTrie.java,2,1657,216
Trie.java,2,246,0
Tries.java,2,111,9
Component.java,1,13,35
KeyIterator.java,1,7,17
MemoryUtil.java,5,52,59
ar_ST.txt,1,163,0
bg_ST.txt,1,260,0
cs_ST.txt,1,257,0
de_ST.txt,1,604,0
en_ST.txt,1,572,0
es_ST.txt,1,308,0
fi_ST.txt,1,748,0
fr_ST.txt,1,464,0
hi_ST.txt,1,164,0
hu_ST.txt,1,738,0
it_ST.txt,1,400,0
pl_ST.txt,1,139,0
pt_ST.txt,1,357,0
ro_ST.txt,1,283,0
ru_ST.txt,1,423,0
sv_ST.txt,1,387,0
cassandra-murmur.yaml,2,45,0
adventures_of_huckleberry_finn_mark_twain.txt,1,12361,0
apache_license_header.txt,1,16,0
ja_jp_1.txt,1,1,0
ja_jp_2.txt,1,2,0
lorem_ipsum.txt,1,1,0
ru_ru_1.txt,1,19,0
top_visited_domains.txt,1,3,0
zn_tw_1.txt,1,19,0
KeyCacheCqlTest.java,4,210,58
SASIIndexTest.java,27,3821,132
NonTokenizingAnalyzerTest.java,1,78,5
StandardAnalyzerTest.java,2,229,21
OnDiskIndexTest.java,9,1382,88
PerSSTableIndexWriterTest.java,5,477,20
TokenTreeTest.java,8,1296,84
OperationTest.java,9,790,29
LongIterator.java,4,130,19
MappedBufferTest.java,1,540,58
RangeIntersectionIteratorTest.java,2,465,42
RangeUnionIteratorTest.java,4,412,26
AtomicBTreeColumns.java,1,14,89
LazilyCompactedRow.java,8,78,44
CompactionControllerTest.java,3,218,6
ClusteringIndexFilter.java,2,18,1
ClusteringIndexSliceFilter.java,2,11,29
SliceableUnfilteredRowIterator.java,1,39,0
BigTableReader.java,8,113,42
BigTableScanner.java,7,94,60
ClientModeSSTableTest.java,3,18,10
NoSpamLogger.java,2,31,38
Ref.java,7,308,49
NoSpamLoggerTest.java,1,8,10
RefCountedTest.java,2,308,38
Memory.java,3,68,69
AbstractBufferClusteringPrefix.java,1,72,8
AbstractClusteringPrefix.java,1,44,15
BufferClustering.java,2,48,1
CBuilder.java,2,36,25
ClusteringComparator.java,3,21,41
ClusteringPrefix.java,9,89,98
NativeClustering.java,1,125,13
NativeDecoratedKey.java,2,7,2
RowUpdateBuilder.java,5,604,86
Serializers.java,5,226,14
Slice.java,5,315,109
Cell.java,6,180,55
NativeCell.java,2,157,19
RowIterator.java,1,5,2
BaseRows.java,5,16,30
Transformation.java,3,42,24
IndexEntry.java,2,2,1
MetadataCollector.java,17,251,62
MemoryInputStream.java,1,2,7
AbstractAllocator.java,1,1,6
EnsureOnHeap.java,1,150,21
HeapAllocator.java,1,5,3
HeapPool.java,4,91,5
MemtableAllocator.java,6,184,39
MemtablePool.java,7,69,44
NativeAllocator.java,4,96,26
